login,id,contributions
jif-oai,230027070,1160
bolinfest,655869,1001
aibrahim-oai,219906144,582
pakrym-oai,204937752,532
etraut-openai,223546144,472
dylan-hurd-oai,220976066,219
nornagon-openai,172423086,204
owenlin0,947871,166
viyatb-oai,234056686,143
iceweasel-oai,234057055,133
xl-openai,184293535,131
dependabot[bot],49699333,126
sayan-oai,244841968,121
anp-oai,286154589,116
celia-oai,209693228,106
mzeng-openai,175741029,106
charley-oai,253381928,103
gpeal,1307745,89
tibo-openai,177053821,89
fcoury-oai,272635208,89
joshka-oai,236681816,79
canvrno-oai,257630656,76
shijie-oai,235382242,72
fouad-openai,169186268,61
apanasenko-oai,228802911,59
starr-openai,176426273,58
euroelessar,83361,56
won-openai,262224683,56
abhinav-oai,274334565,50
fjord-oai,240979671,45
